epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,1128.91,0.96073,0.5267,0.88335,0.74736,0.61785,0.68129,0.45589,1.1048,0.6559,0.94161,0.0097129,0.0097129,0.0097129
89,1141.92,0.97521,0.5171,0.88386,0.77238,0.61019,0.68858,0.45675,1.11901,0.65042,0.94422,0.0097096,0.0097096,0.0097096
90,1154.87,0.94754,0.51494,0.87908,0.75989,0.58132,0.67965,0.43683,1.18073,0.67152,0.95488,0.0097063,0.0097063,0.0097063
91,1167.64,0.96116,0.51976,0.88084,0.76151,0.62712,0.69484,0.4628,1.10052,0.60603,0.93748,0.009703,0.009703,0.009703
92,1180.57,0.91899,0.51069,0.88114,0.79983,0.61363,0.70562,0.47404,1.0694,0.61945,0.92833,0.0096997,0.0096997,0.0096997
93,1193.6,0.92758,0.50459,0.87537,0.77025,0.63013,0.70814,0.47757,1.06623,0.60107,0.93274,0.0096964,0.0096964,0.0096964
94,1206.41,0.93357,0.49757,0.87736,0.77945,0.63026,0.70682,0.48347,1.0537,0.59237,0.92866,0.0096931,0.0096931,0.0096931
95,1219.08,0.9171,0.49662,0.87681,0.76449,0.63086,0.70254,0.47906,1.05025,0.59568,0.92945,0.0096898,0.0096898,0.0096898
96,1231.19,0.9236,0.49056,0.8761,0.80418,0.63335,0.7182,0.4921,1.03438,0.57849,0.92562,0.0096865,0.0096865,0.0096865
97,1243.35,0.89496,0.48091,0.86862,0.80407,0.6387,0.7234,0.49863,1.01265,0.5744,0.92062,0.0096832,0.0096832,0.0096832
98,1255.55,0.88655,0.47768,0.86726,0.81322,0.61874,0.71207,0.48791,1.05144,0.58335,0.92969,0.0096799,0.0096799,0.0096799
99,1267.59,0.87397,0.47172,0.86446,0.75584,0.61991,0.69171,0.46442,1.09583,0.628,0.93896,0.0096766,0.0096766,0.0096766
100,1279.68,0.87717,0.46573,0.86533,0.76259,0.61576,0.69078,0.46246,1.09294,0.63379,0.94043,0.0096733,0.0096733,0.0096733
101,1291.85,0.86891,0.47163,0.8632,0.78877,0.61821,0.71019,0.48829,1.04578,0.58151,0.92681,0.00967,0.00967,0.00967
102,1304.06,0.86997,0.47675,0.86355,0.79022,0.63994,0.72234,0.50264,1.00111,0.5615,0.91591,0.0096667,0.0096667,0.0096667
